Score,country,User's lifetime number of transactions,User's language,User is referred? (1=True/0=False),Seconds between user's first booking date and created_at,User's address_status_id,USer's identity_status_id,User's lifetime number of referrals
10,3,2,2,0,621,1,3,2
10,3,2,2,0,1066,1,3,0
10,3,2,1,0,676,1,3,0
10,3,2,1,0,700,1,3,1
10,3,2,3,0,689,3,3,0
10,3,2,2,0,1276,1,3,0
10,3,2,2,0,3331,3,3,0
10,3,2,3,0,942,1,3,0
10,3,2,3,1,462,3,3,0
10,3,2,1,0,2042,1,3,0
10,3,2,1,0,793,1,3,0
10,3,2,1,0,512,1,3,0
10,3,2,3,0,377,1,3,0
10,3,2,2,1,74387,3,3,0
10,3,2,1,0,332,3,3,0
10,3,2,2,0,69917002,1,3,0
10,3,2,3,1,443,3,3,1
10,3,2,2,0,526882,3,3,0
10,3,2,1,0,1481114,1,3,0
10,3,2,3,0,244,3,3,0
10,3,2,2,1,361,1,3,0
10,3,2,2,0,1707,1,3,1
10,3,2,1,1,3275,3,3,15
10,3,2,1,0,3704,3,3,0
10,3,2,4,0,1806689,3,3,0
10,3,2,1,0,460,3,3,0
10,3,2,1,0,16073535,1,3,0
10,3,2,2,0,29752,2,3,0
10,3,2,1,0,1327,1,3,1
10,3,2,1,1,452,3,3,0
10,3,2,1,0,308,3,3,0
10,3,2,4,0,311,1,3,0
10,3,2,1,1,6423697,1,3,0
10,3,2,1,0,498,3,3,0
10,3,2,1,1,17044,3,3,0
10,3,2,4,0,2757,3,3,0
10,3,2,1,0,496,3,3,0
10,3,2,2,0,1876,3,3,1
10,3,2,2,0,1644344,1,3,0
10,3,2,1,0,651,3,3,0
10,3,2,1,1,196,1,3,0
10,3,2,4,1,549,1,3,0
10,3,2,1,0,11445,3,3,0
10,3,2,1,0,20550200,3,3,0
10,3,2,4,0,768,3,3,0
10,3,2,1,0,187,3,3,0
10,3,2,1,0,278,3,3,0
10,3,2,2,0,40197026,3,3,1
10,3,2,3,0,546,3,3,0
10,3,2,1,0,212,1,3,0
10,3,2,4,0,196,2,3,0
10,3,2,4,0,9766780,3,3,0
10,3,2,2,0,505,3,3,0
10,3,2,1,0,647,3,3,0
10,3,2,1,0,2949,2,3,1
10,3,2,3,0,622,1,3,0
10,3,2,4,0,14816,2,3,0
10,3,2,2,0,173819,3,3,1
10,3,2,1,0,9069,1,1,0
10,3,2,4,0,1741,3,3,1
10,3,2,4,1,56244,1,3,0
10,3,2,2,0,991,2,3,0
10,3,2,6,0,551,3,3,0
10,3,2,4,0,660,1,3,0
10,3,2,2,0,49072669,2,3,0
10,3,2,2,1,839,3,3,0
10,3,2,4,1,774315,1,3,0
10,3,2,1,0,2953798,3,3,0
10,3,2,1,0,469,2,3,0
10,3,2,3,1,1408,3,3,0
10,3,2,1,1,256,3,3,0
10,3,2,1,0,395,1,3,0
10,3,2,1,1,5599053,1,3,1
10,3,2,1,0,10543159,3,3,0
10,3,2,1,0,658565,3,3,0
10,3,2,1,0,21161278,3,3,0
10,3,2,1,0,263,3,3,0
10,3,2,4,1,402,3,3,0
10,3,2,2,0,258,3,3,0
10,3,2,1,0,682,3,3,0
10,3,2,2,0,741,1,3,0
10,3,2,2,1,62805,3,3,0
10,3,2,4,1,1324917,3,3,1
10,3,2,1,0,5170,2,3,0
10,3,2,4,0,2768,3,3,0
10,3,2,4,0,7622,1,3,0
10,3,2,1,1,653,1,3,1
10,3,2,2,0,1808,1,3,0
